position,person,personID,start,gender,DOB,DOD,image,enwiki
monarch,Elizabeth II,Q9682,1978-10-01,female,1926-04-21,,Elizabeth II 2021.jpg,Elizabeth II
Governor-General,Tofiga Vaevalu Falani,Q108906680,2021-09-29,male,,,,Tofiga Vaevalu Falani
Prime Minister,Kausea Natano,Q6378927,2019-09-19,male,1957,,Kausea Natano.png,Kausea Natano
Speaker of Parliament,Samuelu Teo,Q21062794,2019-09-20,male,,,,Samuelu Teo
