wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q108805759,Ampelosa Manoa Tehulu,Ampelosa Manoa Tehulu,,,Q110594698,Minister for Public Utilities,2019-09-20,Q108805759-8FF508D7-D634-483F-A677-0452316E7015
Q108805761,Timi Melei,Timi Melei,,,Q110594645,Minister of Education,2019-09-20,Q108805761-A4CD01F6-0275-4329-A296-830A3D6C2121
Q108805768,Katepu Laoi,Katepu Laoi,,,Q110594641,Minister for Home Affairs,2019-09-20,Q108805768-D328EF54-8E5A-47B8-9898-0EC656B198FA
Q108805785,Nielu Meisake,Nielu Meisake,,,Q110594668,Minister for Tourism,2019-09-20,Q108805785-17E2BF35-D2A0-4F00-BD55-516FF5BB7CF7
Q108805785,Nielu Meisake,Nielu Meisake,,,Q110594819,Minister of Transport,2019-09-20,Q108805785-F78AE775-F202-4787-9F26-0B1DED7630F8
Q108805787,Isaia Vaipuna Taape,Isaia Vaipuna Taape,,,Q110594644,Minister of Health,2019-09-20,Q108805787-98C28BED-508F-41D9-883E-23B2B524FB3C
Q6378927,Kausea Natano,Kausea Natano,,,Q592866,Prime Minister of Tuvalu,2019-09-19,Q6378927-2C1A69A3-9658-4BF4-B1A8-CB4EB2F90855
Q67199457,Simon Kofe,Simon Kofe,,,Q110594602,Minister of Foreign Affairs,2019-09-20,Q67199457-471A0552-B8C5-4AD4-B981-0A1EFFCCF9A5
Q67199457,Simon Kofe,Simon Kofe,,,Q110594849,Minister of Justice,2019-09-20,Q67199457-55ED63DE-9E7A-4F9E-9446-3A7CAB07B750
Q7457133,Seve Paeniu,Seve Paeniu,,,Q105063536,Minister of Finance of Tuvalu,2019-09-20,Q7457133-93208A01-AC73-4479-941B-9D763EB4B310
Q85895228,Minute Alapati Taupo,Minute Alapati Taupo,,,Q110594481,Deputy Prime Minister of Tuvalu,2019-09-20,Q85895228-01D23284-0251-46D1-9556-0D67216ACAAE
Q85895228,Minute Alapati Taupo,Minute Alapati Taupo,,,Q110594710,Minister of Fisheries,2019-09-20,Q85895228-B39EADE2-6606-4C8B-AF93-073F8E9747F8
