position,title
Q34517851,monarch
Q644809,Governor-General
Q592866,Prime Minister
Q110594481,Deputy Prime Minister
Q110594466,Minister of Commerce and Natural Resources
Q110594649,Minister of Community Affairs
Q110594645,Minister of Education
Q105063536,Minister of Finance
Q110594710,Minister of Fisheries
Q110594602,Minister of Foreign Affairs
Q110594644,Minister of Health
Q110594641,Minister for Home Affairs
Q110594849,Minister of Justice
Q110594489,Minister of Natural Resources
Q110594698,Minister for Public Utilities
Q110594469,Minister of Social Services
Q110594819,Minister of Transport
Q110594668,Minister of Tourism
Q110594666,Minister for Women
Q110594465,Minister for Works and Communications
Q11812635,Speaker of Parliament
