ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q15939147,Ielemia Ministry,2006-08-16,11,,,2010-09-29,11,,,,,Q15939131,Second Toafa Ministry,,,Q15939131,Second Toafa Ministry
,Q15939131,Second Toafa Ministry,2010-09-29,11,,,2010-12-24,11,,,Q15939147,Ielemia Ministry,Q15939108,Telavi Ministry,Q15939147,Ielemia Ministry,Q15939108,Telavi Ministry
,Q15939167,Sopoaga Ministry,2013-08-05,11,,,2019-09-19,11,,,Q15939108,Telavi Ministry,Q85787810,Natano Ministry,Q15939108,Telavi Ministry,,
,Q85787810,Natano Ministry,2019-09-20,11,,,,,,,Q15939167,Sopoaga Ministry,,,,,,
